gelatina,O,NA
bromuro,O,NA
d',O,NA
argento,B_E57,SP
/,O,NA
pellicola,O,NA
(,O,NA
poliestere,O,NA
),O,NA
" 

",O,NA
gelatina,O,NA
bromuro,O,NA
d',O,NA
argento,B_E57,SP
/,O,NA
pellicola,O,NA
(,O,NA
poliestere,O,NA
),O,NA
" 

",O,NA
gelatina,O,NA
bromuro,O,NA
d',O,NA
argento,B_E57,SP
/,O,NA
pellicola,O,NA
(,O,NA
poliestere,O,NA
),O,NA
" 

",O,NA
gelatina,O,NA
bromuro,O,NA
d',O,NA
argento,B_E57,SP
/,O,NA
pellicola,O,NA
(,O,NA
poliestere,O,NA
),O,NA
" 

",O,NA
1,O,NA
-,O,NA
i,O,NA
calciatori,O,NA
delle,O,NA
due,O,NA
squadre,O,NA
scendono,O,NA
in,O,NA
campo,O,NA
 ,O,NA
2,O,NA
-,O,NA
i,O,NA
tifosi,O,NA
sugli,O,NA
spalti,O,NA
 ,O,NA
3,O,NA
-,O,NA
due,O,NA
attori,O,NA
appartenenti,O,NA
ad,O,NA
opposte,O,NA
tifoserie,O,NA
scommettono,O,NA
sull',O,NA
esito,O,NA
del,O,NA
derby,O,NA
 ,O,NA
4,O,NA
-,O,NA
fasi,O,NA
della,O,NA
partita,O,NA
di,O,NA
calcio,O,NA
 ,O,NA
5,O,NA
-,O,NA
gol,O,NA
della,O,NA
Lazio,O,NA
 ,O,NA
6,O,NA
-,O,NA
tiro,O,NA
al,O,NA
volo,O,NA
di,O,NA
un,O,NA
calciatore,O,NA
romanista,O,NA
e,O,NA
gol,O,NA
della,O,NA
Roma,B_E53,SP
 ,O,NA
7,O,NA
-,O,NA
la,O,NA
reazione,O,NA
dei,O,NA
tifosi,O,NA
 ,O,NA
8,O,NA
-,O,NA
i,O,NA
due,O,NA
attori,O,NA
scendono,O,NA
dall',O,NA
auto,O,NA
in,O,NA
mutande,O,NA
dopo,O,NA
la,O,NA
scommessa,O,NA
" 

",O,NA
1,O,NA
-,O,NA
gente,O,NA
affluisce,O,NA
all,O,NA
',O,NA
ippodromo,O,NA
 ,O,NA
2,O,NA
-,O,NA
si,O,NA
raccolgono,O,NA
scommesse,O,NA
 ,O,NA
3,O,NA
-,O,NA
arrivano,O,NA
i,O,NA
reali,O,NA
inglesi,O,NA
 ,O,NA
4,O,NA
-,O,NA
i,O,NA
cavalli,B_E18,SP
prima,O,NA
della,O,NA
partenza,O,NA
 ,O,NA
5,O,NA
-,O,NA
partenza,O,NA
e,O,NA
fasi,O,NA
della,O,NA
corsa,O,NA
 ,O,NA
6,O,NA
-,O,NA
il,O,NA
cavallo,B_E18,SP
Artic,I_E18,SP
Prince,I_E18,SP
",",O,NA
montato,O,NA
dal,O,NA
fantino,O,NA
Spares,O,NA
",",O,NA
vince,O,NA
la,O,NA
gara,O,NA
" 

",O,NA
Paradosso,O,NA
:,O,NA
l',O,NA
eccezione,O,NA
conferma,O,NA
la,O,NA
regola,O,NA
1,O,NA
-,O,NA
pentola,B_E18,TI
sul,O,NA
fuoco,O,NA
con,O,NA
acqua,B_E18,SP
in,I_E18,SP
ebollizione,I_E18,SP
;,O,NA
 ,O,NA
2,O,NA
-,O,NA
lancio,O,NA
di,O,NA
coltelli,O,NA
 ,O,NA
in,O,NA
fila,O,NA
da,O,NA
parte,O,NA
di,O,NA
un,O,NA
bambino,B_E39,SP
;,O,NA
 ,O,NA
3,O,NA
-,O,NA
colpo,O,NA
di,O,NA
martello,B_E18,TI
ad,O,NA
un,O,NA
bicchieri,B_E18,TI
che,O,NA
buca,O,NA
il,O,NA
tavolo,B_E18,TI
;,O,NA
 ,O,NA
4,O,NA
-,O,NA
uovo,O,NA
in,O,NA
equilibrio,O,NA
su,O,NA
una,O,NA
piastrella,B_E18,TI
;,O,NA
 ,O,NA
5,O,NA
-,O,NA
cono,O,NA
su,O,NA
un,O,NA
vertice,O,NA
in,O,NA
equilibrio,O,NA
stabile,O,NA
;,O,NA
 ,O,NA
6,O,NA
-,O,NA
giochi,O,NA
paradossali,O,NA
:,O,NA
congiungimento,O,NA
di,O,NA
nove,O,NA
punti,O,NA
con,O,NA
una,O,NA
matita,O,NA
senza,O,NA
staccarla,O,NA
dal,O,NA
foglio,O,NA
;,O,NA
 ,O,NA
7,O,NA
-,O,NA
svuotamento,O,NA
di,O,NA
un,O,NA
bicchiere,B_E18,TI
con,O,NA
una,O,NA
bottiglia,B_E18,TI
piena,I_E18,TI
;,O,NA
 ,O,NA
8,O,NA
-,O,NA
trucchi,O,NA
del,O,NA
prestigiatore,O,NA
;,O,NA
 ,O,NA
9,O,NA
-,O,NA
costruzione,B_E5,SP
dell',I_E5,SP
anello,I_E5,SP
di,I_E5,SP
Moebius,I_E5,SP
"

",O,NA
1,O,NA
-,O,NA
tecnici,O,NA
con,O,NA
tute,O,NA
di,O,NA
amianto,O,NA
 ,O,NA
2,O,NA
-,O,NA
una,O,NA
lingua,B_E53,SP
di,O,NA
fuoco,O,NA
si,O,NA
alza,O,NA
dal,O,NA
pozzo,B_E18,SP
petrolifero,I_E18,SP
 ,O,NA
3,O,NA
-,O,NA
un,O,NA
cocchio,O,NA
di,O,NA
fattura,O,NA
antica,O,NA
attraversa,O,NA
le,O,NA
strade,B_E18,SP
di,I_E18,SP
Madrid,I_E18,SP
 ,O,NA
4,O,NA
-,O,NA
uomini,B_E39,SP
con,I_E39,SP
abiti,I_E39,SP
moreschi,I_E39,SP
a,I_E39,SP
cavallo,I_E39,SP
scortano,O,NA
la,O,NA
carrozza,O,NA
 ,O,NA
5,O,NA
-,O,NA
lampadario,O,NA
di,O,NA
cristallo,O,NA
in,O,NA
sala,B_E18,SP
 ,O,NA
6,O,NA
-,O,NA
l',O,NA
ambasciatore,O,NA
presenta,O,NA
le,O,NA
credenziali,O,NA
a,O,NA
Franco,O,NA
 ,O,NA
7,O,NA
-,O,NA
gli,O,NA
addetti,O,NA
di,O,NA
ambasciata,O,NA
in,O,NA
tight,O,NA
stringono,O,NA
la,O,NA
mano,B_E18,SP
a,O,NA
Franco,O,NA
 ,O,NA
8,O,NA
-,O,NA
l',O,NA
ambasciatore,O,NA
e,O,NA
Franco,O,NA
si,O,NA
abbracciano,O,NA
 ,O,NA
